"state","county_name","fips_code","carrier","issuer_id","market","plan_count"
"AK","Aleutians East Borough","02013","Aetna","11082","off_market",15
"AK","Aleutians East Borough","02013","Moda Health","73836","on_market",30
"AK","Aleutians East Borough","02013","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Aleutians East Borough","02013","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Aleutians East Borough","02013","UnitedHealthcare","80049","off_market",58
"AK","Aleutians West Census Area","02016","Aetna","11082","off_market",15
"AK","Aleutians West Census Area","02016","Moda Health","73836","on_market",30
"AK","Aleutians West Census Area","02016","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Aleutians West Census Area","02016","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Aleutians West Census Area","02016","UnitedHealthcare","80049","off_market",58
"AK","Anchorage Municipality","02020","Aetna","11082","off_market",28
"AK","Anchorage Municipality","02020","Moda Health","73836","on_market",30
"AK","Anchorage Municipality","02020","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Anchorage Municipality","02020","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Anchorage Municipality","02020","UnitedHealthcare","80049","off_market",58
"AK","Bethel Census Area","02050","Aetna","11082","off_market",15
"AK","Bethel Census Area","02050","Moda Health","73836","on_market",30
"AK","Bethel Census Area","02050","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Bethel Census Area","02050","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Bethel Census Area","02050","UnitedHealthcare","80049","off_market",58
"AK","Bristol Bay Borough","02060","Aetna","11082","off_market",15
"AK","Bristol Bay Borough","02060","Moda Health","73836","on_market",30
"AK","Bristol Bay Borough","02060","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Bristol Bay Borough","02060","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Bristol Bay Borough","02060","UnitedHealthcare","80049","off_market",58
"AK","Denali Borough","02068","Aetna","11082","off_market",15
"AK","Denali Borough","02068","Moda Health","73836","on_market",30
"AK","Denali Borough","02068","Premera BlueCross BlueShield of Alaska","38344","off_market",20
"AK","Denali Borough","02068","Premera BlueCross BlueShield of Alaska","38344","on_market",2
"AK","Denali Borough","02068","UnitedHealthcare","80049","off_market",58
"AK","Dillingham Census Area","02070","Aetna","11082","off_market",15
